Class,Purity
CV,56.23%
DPV,87.04%
ELL,97.78%
M,90.16%
OSARG,72.79%
RRAB,75.23%
RRC,47.81%
RRD,36.65%
RRE,50.68%
S,75.87%
SRV,81.62%
T120,75.80%
T1F,57.43%
